,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,cytosolic,-0.00237066298044,0.282171741443,3277455.5,24,1,0,1
1,0.031623,Alpelisib,cytosolic,0.0150632531898,0.000692411866183,2984140.0,24,2.33E-01,1,2
2,0.1,Alpelisib,cytosolic,-0.0290179077461,1.62675318292e-08,2691585.5,24,5.47E-06,2,3
3,0.31623,Alpelisib,cytosolic,-0.0025520517317,0.338548140757,2802999.5,24,1,3,4
4,1.0,Alpelisib,cytosolic,0.00328505325379,0.206492107439,2541700.5,24,1,4,5
5,3.1623,Alpelisib,cytosolic,-0.0145200358338,0.00134662047567,2027222.5,24,4.52E-01,5,6
6,10.0,Alpelisib,cytosolic,-0.0178261103074,6.26133509898e-05,2141482.0,24,2.10E-02,6,7
7,0.01,Alpelisib,cytosolic,-0.00965580521156,1.51591537832e-06,36928255.5,48,5.09E-04,7,8
8,0.031623,Alpelisib,cytosolic,0.0180849934088,4.12890418504e-16,33454881.0,48,1.39E-13,8,9
9,0.1,Alpelisib,cytosolic,-0.0180026448582,6.20386775298e-18,32396271.0,48,2.08E-15,9,10
10,0.31623,Alpelisib,cytosolic,0.0133179262675,1.77769820427e-06,27003821.0,48,5.97E-04,10,11
11,1.0,Alpelisib,cytosolic,0.0233155265491,2.99935547179e-14,19929726.5,48,1.01E-11,11,12
12,3.1623,Alpelisib,cytosolic,0.0309071233117,2.38198826179e-18,14077535.5,48,8.00E-16,12,13
13,10.0,Alpelisib,cytosolic,-0.0116578524665,0.00150921213498,9375966.5,48,5.07E-01,13,14
14,0.01,Alpelisib,cytosolic,0.037829487682,6.54550903455e-123,319231701.5,72,2.20E-120,14,15
15,0.031623,Alpelisib,cytosolic,0.0271208526655,1.98234995335e-50,263831063.0,72,6.66E-48,15,16
16,0.1,Alpelisib,cytosolic,-0.0312266505965,1.25780279238e-104,227214256.5,72,4.23E-102,16,17
17,0.31623,Alpelisib,cytosolic,-0.0320137495543,1.24146263268e-95,219884605.0,72,4.17E-93,17,18
18,1.0,Alpelisib,cytosolic,0.00139734857699,0.282519707854,226734208.5,72,1,18,19
19,3.1623,Alpelisib,cytosolic,0.00193500447481,0.351416395572,183033575.0,72,1,19,20
20,10.0,Alpelisib,cytosolic,0.00438924679271,0.228838467201,62188085.5,72,1,20,21
21,0.01,Dasatinib,cytosolic,0.00275760248755,0.0611166924801,3700620.0,24,1,0,1
22,0.031623,Dasatinib,cytosolic,-0.065375295813,1.8985252225e-62,3148152.0,24,6.38E-60,1,2
23,0.1,Dasatinib,cytosolic,0.105870297233,2.97629607565e-44,1173947.5,24,1.00E-41,2,3
24,0.31623,Dasatinib,cytosolic,0.0744233647109,3.60634361763e-32,1197814.5,24,1.21E-29,3,4
25,1.0,Dasatinib,cytosolic,0.0928322526482,8.75359196455e-25,571224.5,24,2.94E-22,4,5
26,3.1623,Dasatinib,cytosolic,0.116919861784,7.37576221324e-33,610293.5,24,2.48E-30,5,6
27,10.0,Dasatinib,cytosolic,0.0307711332287,0.0229831055953,564419.0,24,1,6,7
28,0.01,Dasatinib,cytosolic,-0.00337243462372,0.144151154013,37037726.5,48,1,7,8
29,0.031623,Dasatinib,cytosolic,-0.0229209510757,4.43742024982e-19,22989104.0,48,1.49E-16,8,9
30,0.1,Dasatinib,cytosolic,0.0613231201736,2.3236269623e-56,10640418.0,48,7.81E-54,9,10
31,0.31623,Dasatinib,cytosolic,0.00792743301746,0.213434708733,7400163.5,48,1,10,11
32,1.0,Dasatinib,cytosolic,0.0398322031315,6.01112037308e-11,5108790.5,48,2.02E-08,11,12
33,3.1623,Dasatinib,cytosolic,0.132775464018,7.83297933947e-56,1690710.0,48,2.63E-53,12,13
34,10.0,Dasatinib,cytosolic,0.0255039746295,0.0382242387787,692542.0,48,1,13,14
35,0.01,Dasatinib,cytosolic,-0.0179453176384,1.53895112395e-25,201146677.5,72,5.17E-23,14,15
36,0.031623,Dasatinib,cytosolic,0.0763383231911,7.16305428957e-264,175327930.5,72,2.41E-261,15,16
37,0.1,Dasatinib,cytosolic,0.213409245152,0.0,44215948.5,72,0.00E+00,16,17
38,0.31623,Dasatinib,cytosolic,0.137350595985,2.84816452757e-142,21116593.0,72,9.57E-140,17,18
39,1.0,Dasatinib,cytosolic,0.065516320334,6.99578471507e-28,15642029.0,72,2.35E-25,18,19
40,3.1623,Dasatinib,cytosolic,-0.02731282211,9.00427734286e-06,12285625.5,72,3.03E-03,19,20
41,10.0,Dasatinib,cytosolic,-0.0266196636543,7.65570073182e-07,14568805.5,72,2.57E-04,20,21
42,0.01,Etoposide,cytosolic,0.00910836312169,0.0560486583456,3184791.5,24,1,0,1
43,0.031623,Etoposide,cytosolic,0.0302823926675,3.85102737573e-13,3259896.0,24,1.29E-10,1,2
44,0.1,Etoposide,cytosolic,0.0288103795064,4.25946669791e-09,2388242.0,24,1.43E-06,2,3
45,0.31623,Etoposide,cytosolic,0.00903054916676,0.0174857822442,2448230.0,24,1,3,4
46,1.0,Etoposide,cytosolic,0.0571789727254,7.73087098845e-18,1227576.0,24,2.60E-15,4,5
47,3.1623,Etoposide,cytosolic,0.0335757921597,2.0430825037e-07,1358191.5,24,6.86E-05,5,6
48,10.0,Etoposide,cytosolic,-0.0273660133471,6.37411731155e-06,1027269.0,24,2.14E-03,6,7
49,0.01,Etoposide,cytosolic,0.0238482894516,2.930243474e-21,30802467.5,48,9.85E-19,7,8
50,0.031623,Etoposide,cytosolic,0.0223276840292,6.49329179475e-22,28834958.0,48,2.18E-19,8,9
51,0.1,Etoposide,cytosolic,-0.00115807466148,0.23965063678,21567431.0,48,1,9,10
52,0.31623,Etoposide,cytosolic,0.0273088985834,1.74113724103e-16,14877902.0,48,5.85E-14,10,11
53,1.0,Etoposide,cytosolic,0.123556294938,2.15531247302e-89,3328929.5,48,7.24E-87,11,12
54,3.1623,Etoposide,cytosolic,0.0434234721429,3.42015301996e-10,4060118.5,48,1.15E-07,12,13
55,10.0,Etoposide,cytosolic,-0.00330271755984,0.126370254491,3822699.5,48,1,13,14
56,0.01,Etoposide,cytosolic,-0.00348431580502,0.00197999526097,283100906.5,72,6.65E-01,14,15
57,0.031623,Etoposide,cytosolic,0.0937435629983,0.0,183918337.0,72,0.00E+00,15,16
58,0.1,Etoposide,cytosolic,-0.011536727916,6.74315892099e-12,168172750.5,72,2.27E-09,16,17
59,0.31623,Etoposide,cytosolic,0.0315382001588,2.03173763574e-25,73013861.0,72,6.83E-23,17,18
60,1.0,Etoposide,cytosolic,0.132311916471,2.38732529991e-85,12588356.0,72,8.02E-83,18,19
61,3.1623,Etoposide,cytosolic,0.0835175615947,3.17940118453e-30,9978441.5,72,1.07E-27,19,20
62,10.0,Etoposide,cytosolic,-0.00429766028943,0.239906164104,57367097.0,72,1,20,21
63,0.001,Neratinib,cytosolic,0.0209695478596,1.9596367541e-09,3174238.5,24,6.58E-07,0,1
64,0.0032,Neratinib,cytosolic,0.00840788638862,0.00850258636668,3802694.5,24,1,1,2
