,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,cytosolic,-0.0889196666422,0.00054543390072,3117689.0,24h,0.183265790642,0,1
1,0.031623,Alpelisib,cytosolic,0.00460174977694,0.14957876083,3109080.0,24h,1.0,1,2
2,0.1,Alpelisib,cytosolic,-0.0817069944637,0.000275382929876,2807655.5,24h,0.0925286644382,2,3
3,0.31623,Alpelisib,cytosolic,0.0086070989661,0.0127691031976,2704818.0,24h,1.0,3,4
4,1.0,Alpelisib,cytosolic,0.266374412334,3.04898495418e-25,2054773.5,24h,1.0244589446e-22,4,5
5,3.1623,Alpelisib,cytosolic,0.547654919392,1.44291945614e-59,1414230.5,24h,4.84820937264e-57,5,6
6,10.0,Alpelisib,cytosolic,0.110963655371,0.101453796384,2265138.0,24h,1.0,6,7
7,0.01,Alpelisib,cytosolic,0.0375559627855,8.49065452433e-05,37265991.0,48h,0.0285285992017,7,8
8,0.031623,Alpelisib,cytosolic,0.0271628523799,0.00595104938016,35436873.0,48h,1.0,8,9
9,0.1,Alpelisib,cytosolic,0.0699473204566,1.42094879414e-08,33453268.5,48h,4.77438794831e-06,9,10
10,0.31623,Alpelisib,cytosolic,0.0436789950296,1.7280330115e-08,26731055.0,48h,5.80619091863e-06,10,11
11,1.0,Alpelisib,cytosolic,-0.0080487801766,0.00109884994063,21115540.0,48h,0.369213580052,11,12
12,3.1623,Alpelisib,cytosolic,0.295539872029,1.61723890094e-49,12715307.0,48h,5.43392270715e-47,12,13
13,10.0,Alpelisib,cytosolic,0.323083002518,4.378685644e-27,8040366.0,48h,1.47123837638e-24,13,14
14,0.01,Alpelisib,cytosolic,0.164561400248,1.5334490188e-59,333871933.5,72h,5.15238870316e-57,14,15
15,0.031623,Alpelisib,cytosolic,0.081342282256,1.08632640035e-33,268779432.0,72h,3.65005670517e-31,15,16
16,0.1,Alpelisib,cytosolic,-0.0919082850573,0.000694467327035,257572368.5,72h,0.233341021884,16,17
17,0.31623,Alpelisib,cytosolic,0.145011137911,1.25230161179e-78,223064339.0,72h,4.20773341562e-76,17,18
18,1.0,Alpelisib,cytosolic,-0.0543427771193,0.0340172839225,224847045.0,72h,1.0,18,19
19,3.1623,Alpelisib,cytosolic,-0.256423693068,4.56855632106e-61,161558995.0,72h,1.53503492388e-58,19,20
20,10.0,Alpelisib,cytosolic,0.326886044481,3.10753336349e-88,47846488.5,72h,1.04413121013e-85,20,21
21,0.01,Dasatinib,cytosolic,0.26142691534,2.96358572853e-24,3148588.0,24h,9.95764804784e-22,21,22
22,0.031623,Dasatinib,cytosolic,-0.2779752989,1.48767627477e-45,3324016.0,24h,4.99859228323e-43,22,23
23,0.1,Dasatinib,cytosolic,1.03527485566,1.25029296566e-138,717857.5,24h,4.20098436463e-136,23,24
24,0.31623,Dasatinib,cytosolic,1.4291826577,7.56581584312e-217,412111.5,24h,2.54211412329e-214,24,25
25,1.0,Dasatinib,cytosolic,1.57881227407,1.08400385449e-141,151108.0,24h,3.6422529511e-139,25,26
26,3.1623,Dasatinib,cytosolic,1.47522259079,6.09763883501e-133,236335.0,24h,2.04880664856e-130,26,27
27,10.0,Dasatinib,cytosolic,1.88469642325,4.78989588389e-125,57403.0,24h,1.60940501699e-122,27,28
28,0.01,Dasatinib,cytosolic,0.366061197241,1.28979934159e-95,29874678.0,48h,4.33372578774e-93,28,29
29,0.031623,Dasatinib,cytosolic,0.808493467669,0.0,13195780.5,48h,0.0,29,30
30,0.1,Dasatinib,cytosolic,1.11627206052,0.0,5001815.0,48h,0.0,30,31
31,0.31623,Dasatinib,cytosolic,1.49436025346,0.0,1705061.0,48h,0.0,31,32
32,1.0,Dasatinib,cytosolic,1.74032696722,0.0,976470.0,48h,0.0,32,33
33,3.1623,Dasatinib,cytosolic,1.78410831176,7.98133816497e-174,504212.0,48h,2.68172962343e-171,33,34
34,10.0,Dasatinib,cytosolic,1.655009918,1.78209706026e-37,179176.5,48h,5.98784612246e-35,34,35
35,0.01,Dasatinib,cytosolic,0.262315637395,2.40700420291e-159,176947827.5,72h,8.08753412177e-157,35,36
36,0.031623,Dasatinib,cytosolic,0.213103507829,5.62942782307e-109,194269365.5,72h,1.89148774855e-106,36,37
37,0.1,Dasatinib,cytosolic,1.80653881749,0.0,11978649.0,72h,0.0,37,38
38,0.31623,Dasatinib,cytosolic,1.55582110071,0.0,8598927.0,72h,0.0,38,39
39,1.0,Dasatinib,cytosolic,2.05325774896,2.30541362773e-269,5527785.5,72h,7.74618978919e-267,39,40
40,3.1623,Dasatinib,cytosolic,-3.14614926268,1.34036507777e-75,7434443.0,72h,4.50362666129e-73,40,41
41,10.0,Dasatinib,cytosolic,-3.17252226088,2.02685336709e-297,2511201.0,72h,6.81022731343e-295,41,42
42,0.01,Etoposide,cytosolic,-0.114074481778,1.38924544922e-05,3031154.0,24h,0.00466786470938,42,43
43,0.031623,Etoposide,cytosolic,-0.110571388303,1.33660573655e-08,3362127.5,24h,4.49099527482e-06,43,44
44,0.1,Etoposide,cytosolic,-0.0309623493128,0.211829671662,2648579.5,24h,1.0,44,45
45,0.31623,Etoposide,cytosolic,-0.104425173694,0.00541860550621,2425849.0,24h,1.0,45,46
46,1.0,Etoposide,cytosolic,-0.312689587642,5.9392780488e-19,1216341.0,24h,1.9955974244e-16,46,47
47,3.1623,Etoposide,cytosolic,-0.0119730308256,0.216486224718,1522633.5,24h,1.0,47,48
48,10.0,Etoposide,cytosolic,-0.0726821762184,0.10288100854,1129280.0,24h,1.0,48,49
49,0.01,Etoposide,cytosolic,-0.0552803595489,0.00932986819434,33226417.5,48h,1.0,49,50
50,0.031623,Etoposide,cytosolic,-0.0419672957651,0.315762928907,31845722.0,48h,1.0,50,51
51,0.1,Etoposide,cytosolic,-0.0391218059108,0.0354654858488,21275788.0,48h,1.0,51,52
52,0.31623,Etoposide,cytosolic,-0.0387230284981,0.239028272874,16585706.0,48h,1.0,52,53
