,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,nuclear,-0.0430317307491,6.6992330912e-07,3024560.0,24h,0.000225094231864,0,1
1,0.031623,Alpelisib,nuclear,0.044539728511,3.40313314242e-17,2686041.5,24h,1.14345273585e-14,1,2
2,0.1,Alpelisib,nuclear,-0.0991588497989,6.65651940004e-25,2427718.0,24h,2.23659051841e-22,2,3
3,0.31623,Alpelisib,nuclear,0.0536551427549,8.25771824583e-15,2410714.5,24h,2.7745933306e-12,3,4
4,1.0,Alpelisib,nuclear,0.204412003341,3.37036549638e-92,1541048.0,24h,1.13244280678e-89,4,5
5,3.1623,Alpelisib,nuclear,0.0324497718556,0.00015915281376,1999467.5,24h,0.0534753454234,5,6
6,10.0,Alpelisib,nuclear,-0.24116010339,3.47232230986e-118,1212653.5,24h,1.16670029611e-115,6,7
7,0.01,Alpelisib,nuclear,-0.0209329842494,1.44524736437e-11,36190931.0,48h,4.85603114429e-09,7,8
8,0.031623,Alpelisib,nuclear,-0.0160359614585,1.29564717411e-09,34204929.0,48h,4.35337450503e-07,8,9
9,0.1,Alpelisib,nuclear,-0.00038527120759,0.201746165802,35115710.0,48h,1.0,9,10
10,0.31623,Alpelisib,nuclear,-0.0142777048544,2.02107988773e-08,26739604.5,48h,6.79082842277e-06,10,11
11,1.0,Alpelisib,nuclear,0.0814091332256,3.1136137146e-38,18498303.5,48h,1.04617420811e-35,11,12
12,3.1623,Alpelisib,nuclear,0.0731595809839,5.56995777219e-21,13928570.5,48h,1.87150581146e-18,12,13
13,10.0,Alpelisib,nuclear,-0.0227359770062,8.57996975075e-13,8670946.0,48h,2.88286983625e-10,13,14
14,0.01,Alpelisib,nuclear,0.0225989722179,3.43040046557e-43,338877857.5,72h,1.15261455643e-40,14,15
15,0.031623,Alpelisib,nuclear,0.0417834874676,6.5709220566e-106,251771549.5,72h,2.20782981102e-103,15,16
16,0.1,Alpelisib,nuclear,0.0378649697668,7.58171731645e-53,237777979.5,72h,2.54745701833e-50,16,17
17,0.31623,Alpelisib,nuclear,0.0693769627255,1.31503532929e-182,206912020.0,72h,4.41851870643e-180,17,18
18,1.0,Alpelisib,nuclear,0.0515299353248,1.95763801099e-73,200281282.0,72h,6.57766371693e-71,18,19
19,3.1623,Alpelisib,nuclear,-0.00176394211068,0.181102728348,182325472.5,72h,1.0,19,20
20,10.0,Alpelisib,nuclear,0.101828065158,3.22902001979e-68,49693692.5,72h,1.08495072665e-65,20,21
21,0.01,Dasatinib,nuclear,0.0245729289355,6.88657948843e-09,3433845.5,24h,2.31389070811e-06,21,22
22,0.031623,Dasatinib,nuclear,-0.272888321496,1.04470271984e-158,2437503.5,24h,3.51020113868e-156,22,23
23,0.1,Dasatinib,nuclear,0.507664772584,1.59962087097e-274,293917.0,24h,5.37472612646e-272,23,24
24,0.31623,Dasatinib,nuclear,0.4291653405,8.96360732139e-215,418195.0,24h,3.01177205999e-212,24,25
25,1.0,Dasatinib,nuclear,0.67286656737,9.97418835642e-183,54106.0,24h,3.35132728776e-180,25,26
26,3.1623,Dasatinib,nuclear,0.593192461413,3.15315481321e-193,84654.5,24h,1.05946001724e-190,26,27
27,10.0,Dasatinib,nuclear,0.649474130619,1.49933292362e-123,60785.0,24h,5.03775862335e-121,27,28
28,0.01,Dasatinib,nuclear,0.0758933988253,2.56256213403e-89,30133688.0,48h,8.61020877034e-87,28,29
29,0.031623,Dasatinib,nuclear,0.251721248639,0.0,11392118.5,48h,0.0,29,30
30,0.1,Dasatinib,nuclear,0.407978925511,0.0,3491184.5,48h,0.0,30,31
