,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,nuclear,-0.0706626394504,0.130188904849,3244838.0,24h,1.0,0,1
1,0.031623,Alpelisib,nuclear,0.102492641321,5.25084552411e-06,2914206.5,24h,0.0017642840961,1,2
2,0.1,Alpelisib,nuclear,-0.335390089904,6.09064428446e-38,2282973.5,24h,2.04645647958e-35,2,3
3,0.31623,Alpelisib,nuclear,-0.109202813339,0.000187015575776,2633233.0,24h,0.0628372334608,3,4
4,1.0,Alpelisib,nuclear,-0.163981879493,1.05953617933e-05,2365636.5,24h,0.00356004156255,4,5
5,3.1623,Alpelisib,nuclear,-0.777335949512,1.82343620793e-138,1007238.0,24h,6.12674565863e-136,5,6
6,10.0,Alpelisib,nuclear,-1.06960268658,1.88531348929e-292,563715.0,24h,6.334653324e-290,6,7
7,0.01,Alpelisib,nuclear,-0.266509463272,4.06114614563e-92,31108928.0,48h,1.36454510493e-89,7,8
8,0.031623,Alpelisib,nuclear,0.342067640487,1.24166330668e-97,28840738.5,48h,4.17198871043e-95,8,9
9,0.1,Alpelisib,nuclear,-0.310043683596,1.72061386511e-105,27731052.0,48h,5.78126258676e-103,9,10
10,0.31623,Alpelisib,nuclear,0.28892543379,1.12442275446e-61,23320557.5,48h,3.77806045497e-59,10,11
11,1.0,Alpelisib,nuclear,0.572366823292,1.34720054967e-159,14759629.0,48h,4.52659384688e-157,11,12
12,3.1623,Alpelisib,nuclear,-0.282649075045,7.88192121328e-43,12956663.0,48h,2.64832552766e-40,12,13
13,10.0,Alpelisib,nuclear,-0.630381899338,1.6512999699e-164,5179703.0,48h,5.54836789888e-162,13,14
14,0.01,Alpelisib,nuclear,0.430718075528,8.12331033963e-162,312162707.0,72h,2.72943227412e-159,14,15
15,0.031623,Alpelisib,nuclear,0.594295405912,4.16296117659e-231,233329058.5,72h,1.39875495533e-228,15,16
16,0.1,Alpelisib,nuclear,-1.0675946431,0.0,132125071.0,72h,0.0,16,17
17,0.31623,Alpelisib,nuclear,-1.07128104946,0.0,133731258.0,72h,0.0,17,18
18,1.0,Alpelisib,nuclear,-0.260375295,1.7350597644e-66,201646984.0,72h,5.82980080837e-64,18,19
19,3.1623,Alpelisib,nuclear,-0.463852876009,3.86277684246e-151,148571977.0,72h,1.29789301907e-148,19,20
20,10.0,Alpelisib,nuclear,-0.703893152534,1.09997183068e-127,44750510.0,72h,3.69590535107e-125,20,21
21,0.01,Dasatinib,nuclear,-0.000289012490099,0.418689468358,3787175.5,24h,1.0,21,22
22,0.031623,Dasatinib,nuclear,-1.19496237404,0.0,1184012.5,24h,0.0,22,23
23,0.1,Dasatinib,nuclear,0.58354304806,3.14986998906e-41,1194741.5,24h,1.05835631632e-38,23,24
24,0.31623,Dasatinib,nuclear,0.10832935772,0.001042800857,1544307.0,24h,0.350381087952,24,25
25,1.0,Dasatinib,nuclear,0.328367667535,7.77942678949e-11,677268.5,24h,2.61388740127e-08,25,26
26,3.1623,Dasatinib,nuclear,-0.302469239901,5.53368486614e-09,792978.0,24h,1.85931811502e-06,26,27
27,10.0,Dasatinib,nuclear,-0.616267315765,4.00111340838e-40,303194.0,24h,1.34437410522e-37,27,28
28,0.01,Dasatinib,nuclear,0.669142687005,1.55998860013e-275,24504401.0,48h,5.24156169642e-273,28,29
29,0.031623,Dasatinib,nuclear,-0.537189655512,5.53001670753e-292,14938869.0,48h,1.85808561373e-289,29,30
30,0.1,Dasatinib,nuclear,0.441436148236,9.76222540497e-91,9730863.5,48h,3.28010773607e-88,30,31
31,0.31623,Dasatinib,nuclear,-0.42475850773,1.4443168927e-57,5139947.0,48h,4.85290475949e-55,31,32
32,1.0,Dasatinib,nuclear,0.0909034785898,1.13617047619e-06,5334855.5,48h,0.00038175328,32,33
33,3.1623,Dasatinib,nuclear,0.273017191779,1.47661911084e-18,2359843.5,48h,4.96144021242e-16,33,34
34,10.0,Dasatinib,nuclear,-0.627126480631,1.06665555896e-24,298376.5,48h,3.58396267811e-22,34,35
