,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,cytosolic,-0.129449906108,1.56173205005e-15,2843257.5,24,5.25E-13,0,1
1,0.031623,Alpelisib,cytosolic,0.24170694347,4.99674304e-43,2376473.5,24,1.68E-40,1,2
2,0.1,Alpelisib,cytosolic,-0.267616849568,2.0072005125e-44,2220831.5,24,6.74E-42,2,3
3,0.31623,Alpelisib,cytosolic,0.20968719181,2.75262467185e-26,2255761.0,24,9.25E-24,3,4
4,1.0,Alpelisib,cytosolic,0.776711554015,1.70077483112e-201,1031702.5,24,5.71E-199,4,5
5,3.1623,Alpelisib,cytosolic,0.340066674853,1.463346764e-39,1559000.0,24,4.92E-37,5,6
6,10.0,Alpelisib,cytosolic,-0.392794821506,4.72246275941e-90,1357175.5,24,1.59E-87,6,7
7,0.01,Alpelisib,cytosolic,-0.101706516878,5.28618356593e-37,33959545.0,48,1.78E-34,7,8
8,0.031623,Alpelisib,cytosolic,0.168417265542,2.94837732946e-61,30439615.0,48,9.91E-59,8,9
9,0.1,Alpelisib,cytosolic,-0.176205279656,5.89261926919e-109,27603234.0,48,1.98E-106,9,10
10,0.31623,Alpelisib,cytosolic,0.235970787261,3.24376232663e-116,21352249.5,48,1.09E-113,10,11
11,1.0,Alpelisib,cytosolic,0.659578684823,0.0,9049250.0,48,0.00E+00,11,12
12,3.1623,Alpelisib,cytosolic,0.394850256409,3.22461484233e-129,10609796.5,48,1.08E-126,12,13
13,10.0,Alpelisib,cytosolic,-0.07283206885,4.35182864927e-10,8830271.5,48,1.46E-07,13,14
14,0.01,Alpelisib,cytosolic,0.368881084673,0.0,248354132.0,72,0.00E+00,14,15
15,0.031623,Alpelisib,cytosolic,0.426839166298,0.0,180911981.0,72,0.00E+00,15,16
16,0.1,Alpelisib,cytosolic,-0.743670447998,0.0,115800670.5,72,0.00E+00,16,17
17,0.31623,Alpelisib,cytosolic,-0.668592832003,0.0,116744577.5,72,0.00E+00,17,18
18,1.0,Alpelisib,cytosolic,-0.0356200277531,0.00018770075206,222230915.0,72,6.31E-02,18,19
19,3.1623,Alpelisib,cytosolic,-0.221282394037,1.24458662184e-141,149707589.0,72,4.18E-139,19,20
20,10.0,Alpelisib,cytosolic,0.0875885987327,3.75999536175e-12,57612876.0,72,1.26E-09,20,21
21,0.01,Dasatinib,cytosolic,0.10001352931,1.99226254825e-05,3535099.5,24,6.69E-03,0,1
22,0.031623,Dasatinib,cytosolic,-1.5228396838,0.0,1611551.0,24,0.00E+00,1,2
23,0.1,Dasatinib,cytosolic,1.76676850684,3.0072560361e-276,289326.0,24,1.01E-273,2,3
24,0.31623,Dasatinib,cytosolic,0.96590916493,1.36172934881e-145,641581.0,24,4.58E-143,3,4
25,1.0,Dasatinib,cytosolic,1.76033577844,3.00293462734e-158,110451.5,24,1.01E-155,4,5
26,3.1623,Dasatinib,cytosolic,1.07061559022,8.48049965724e-104,322379.0,24,2.85E-101,5,6
27,10.0,Dasatinib,cytosolic,0.413469854568,3.23869924051e-10,466962.0,24,1.09E-07,6,7
28,0.01,Dasatinib,cytosolic,0.371028132893,5.54702249528e-225,25761333.0,48,1.86E-222,7,8
29,0.031623,Dasatinib,cytosolic,0.138466840772,1.86629163717e-16,23193334.0,48,6.27E-14,8,9
30,0.1,Dasatinib,cytosolic,1.50935599292,0.0,1108990.5,48,0.00E+00,9,10
31,0.31623,Dasatinib,cytosolic,0.213221461405,0.000894501639386,7052861.5,48,3.01E-01,10,11
32,1.0,Dasatinib,cytosolic,1.58413053753,0.0,632803.5,48,0.00E+00,11,12
33,3.1623,Dasatinib,cytosolic,1.98948708781,6.89664704699e-197,328968.0,48,2.32E-194,12,13
34,10.0,Dasatinib,cytosolic,-0.976595904956,4.18884997589e-36,190818.5,48,1.41E-33,13,14
35,0.01,Dasatinib,cytosolic,-0.298819838131,1.52152634248e-289,163044470.0,72,5.11E-287,14,15
