,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,nuclear,-0.0209584431665,0.00134705461721,3133450.5,24,4.53E-01,0,1
1,0.031623,Alpelisib,nuclear,0.0178873523479,0.000566893902616,2980828.5,24,1.90E-01,1,2
2,0.1,Alpelisib,nuclear,-0.0293332334487,1.10048752069e-06,2736008.5,24,3.70E-04,2,3
3,0.31623,Alpelisib,nuclear,0.019543261914,0.00431575994622,2683571.0,24,1,3,4
4,1.0,Alpelisib,nuclear,0.028158024972,6.79785044843e-06,2360594.0,24,2.28E-03,4,5
5,3.1623,Alpelisib,nuclear,-0.0522237230883,3.61628149708e-12,1848782.5,24,1.22E-09,5,6
6,10.0,Alpelisib,nuclear,-0.103877033985,5.94485432013e-51,1604250.0,24,2.00E-48,6,7
7,0.01,Alpelisib,nuclear,-0.01133463196,1.93662039189e-05,37134107.0,48,6.51E-03,7,8
8,0.031623,Alpelisib,nuclear,0.00681812571225,0.000812165132543,35208976.0,48,2.73E-01,8,9
9,0.1,Alpelisib,nuclear,0.00470061976806,0.0681175703618,34884947.0,48,1,9,10
10,0.31623,Alpelisib,nuclear,0.00736304091686,0.0097748316611,27716376.5,48,1,10,11
11,1.0,Alpelisib,nuclear,0.038751735638,8.07329605973e-23,19328175.5,48,2.71E-20,11,12
12,3.1623,Alpelisib,nuclear,0.0360105300115,4.08107649323e-15,14277548.5,48,1.37E-12,12,13
13,10.0,Alpelisib,nuclear,0.0159051429385,0.18831316747,9734811.5,48,1,13,14
14,0.01,Alpelisib,nuclear,0.00741946715554,2.18533281861e-09,354600926.5,72,7.34E-07,14,15
15,0.031623,Alpelisib,nuclear,0.0706515821793,1.89351422075e-228,233657636.0,72,6.36E-226,15,16
16,0.1,Alpelisib,nuclear,-0.010545250756,7.4101468883e-06,255710203.0,72,2.49E-03,16,17
17,0.31623,Alpelisib,nuclear,-0.00831561426888,0.00134556357762,248337404.5,72,4.52E-01,17,18
18,1.0,Alpelisib,nuclear,0.0191645540974,2.84167587896e-21,213411536.0,72,9.55E-19,18,19
