,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,nuclear,-0.037920499738,0.248185293951,3271289.0,24h,1.0,0,1
1,0.031623,Alpelisib,nuclear,0.0447406280635,0.00417882383632,3016569.0,24h,1.0,1,2
2,0.1,Alpelisib,nuclear,-0.176196761296,1.15550408114e-19,2497233.0,24h,3.88249371263e-17,2,3
3,0.31623,Alpelisib,nuclear,-0.0910579601357,5.76691046506e-05,2617124.5,24h,0.0193768191626,3,4
4,1.0,Alpelisib,nuclear,-0.184692497232,1.69406158103e-12,2226734.0,24h,5.69204691225e-10,4,5
5,3.1623,Alpelisib,nuclear,-0.51562898376,3.74376884702e-83,1273019.0,24h,1.2579063326e-80,5,6
6,10.0,Alpelisib,nuclear,-0.488370632924,1.00985512466e-86,1375728.0,24h,3.39311321887e-84,6,7
7,0.01,Alpelisib,nuclear,-0.396486234116,6.44197608825e-293,25073090.5,48h,2.16450396565e-290,7,8
8,0.031623,Alpelisib,nuclear,0.143480990278,8.95077885832e-41,31568279.5,48h,3.00746169639e-38,8,9
9,0.1,Alpelisib,nuclear,-0.446795012915,0.0,21611924.5,48h,0.0,9,10
10,0.31623,Alpelisib,nuclear,0.250578299175,2.26305633107e-104,21730637.0,48h,7.60386927239e-102,10,11
11,1.0,Alpelisib,nuclear,0.291202155573,4.80548023911e-120,15726628.5,48h,1.61464136034e-117,11,12
12,3.1623,Alpelisib,nuclear,0.31421055802,3.53940008821e-73,11974784.5,48h,1.18923842964e-70,12,13
13,10.0,Alpelisib,nuclear,-0.228902152,6.60121265188e-38,7677873.0,48h,2.21800745103e-35,13,14
14,0.01,Alpelisib,nuclear,-0.0444238830548,7.36561761299e-11,353523334.5,72h,2.47484751796e-08,14,15
15,0.031623,Alpelisib,nuclear,-0.259347836088,0.0,218543692.0,72h,0.0,15,16
16,0.1,Alpelisib,nuclear,-0.687671741637,0.0,126921639.0,72h,0.0,16,17
17,0.31623,Alpelisib,nuclear,-0.691208270146,0.0,113904333.5,72h,0.0,17,18
18,1.0,Alpelisib,nuclear,-0.114167489214,1.06589173312e-43,206739644.5,72h,3.58139622328e-41,18,19
19,3.1623,Alpelisib,nuclear,0.0221726519002,4.56760548231e-13,173994391.5,72h,1.53471544206e-10,19,20
20,10.0,Alpelisib,nuclear,0.167139737453,4.5362608915e-43,52471061.5,72h,1.52418365955e-40,20,21
21,0.01,Dasatinib,nuclear,0.054535654587,0.00146865516335,3608346.5,24h,0.493468134885,21,22
22,0.031623,Dasatinib,nuclear,-4.21622660237,0.0,1252200.5,24h,0.0,22,23
23,0.1,Dasatinib,nuclear,0.132029251865,1.70338997916e-05,1573854.0,24h,0.00572339032997,23,24
24,0.31623,Dasatinib,nuclear,0.662575802778,1.1944495434e-85,884923.0,24h,4.01335046583e-83,24,25
25,1.0,Dasatinib,nuclear,0.67946916889,1.907825856e-31,532434.5,24h,6.41029487614e-29,25,26
26,3.1623,Dasatinib,nuclear,1.13111915538,6.18811524386e-100,334666.0,24h,2.07920672194e-97,26,27
27,10.0,Dasatinib,nuclear,0.700596149955,1.97187800054e-25,369629.0,24h,6.6255100818e-23,27,28
28,0.01,Dasatinib,nuclear,0.00332324068744,0.0996486951171,36956918.5,48h,1.0,28,29
29,0.031623,Dasatinib,nuclear,-0.0083032300494,0.0094042931587,24881202.5,48h,1.0,29,30
30,0.1,Dasatinib,nuclear,1.12015653567,0.0,2659196.5,48h,0.0,30,31
31,0.31623,Dasatinib,nuclear,0.350179513229,3.59495775182e-31,5795714.5,48h,1.20790580461e-28,31,32
32,1.0,Dasatinib,nuclear,1.31135436315,0.0,669192.5,48h,0.0,32,33
33,3.1623,Dasatinib,nuclear,1.88861730681,1.74314480956e-227,111784.0,48h,5.85696656011e-225,33,34
34,10.0,Dasatinib,nuclear,0.368105172475,9.65336587137e-07,552644.0,48h,0.000324353093278,34,35
35,0.01,Dasatinib,nuclear,-0.16361732355,5.4706803435e-70,190484100.5,72h,1.83814859542e-67,35,36
36,0.031623,Dasatinib,nuclear,0.436994085023,0.0,125482906.0,72h,0.0,36,37
37,0.1,Dasatinib,nuclear,1.36588999979,0.0,24857926.5,72h,0.0,37,38
38,0.31623,Dasatinib,nuclear,1.43668646011,0.0,4981630.0,72h,0.0,38,39
39,1.0,Dasatinib,nuclear,1.16284029773,5.30448010155e-184,8098380.5,72h,1.78230531412e-181,39,40
40,3.1623,Dasatinib,nuclear,-3.34714240962,4.47508848281e-58,8240784.0,72h,1.50362973022e-55,40,41
41,10.0,Dasatinib,nuclear,-3.50472446866,0.0,1946878.0,72h,0.0,41,42
42,0.01,Etoposide,nuclear,0.0315326543533,0.00813449225047,3136730.0,24h,1.0,42,43
43,0.031623,Etoposide,nuclear,0.151046974637,4.14844367231e-18,3168858.0,24h,1.3938770739e-15,43,44
44,0.1,Etoposide,nuclear,-0.0175476188056,0.211146286744,2648455.5,24h,1.0,44,45
45,0.31623,Etoposide,nuclear,0.0587149221395,0.0159034964,2446286.5,24h,1.0,45,46
46,1.0,Etoposide,nuclear,0.626191775542,1.2681690128e-106,713228.5,24h,4.261047883e-104,46,47
47,3.1623,Etoposide,nuclear,0.333152197247,9.6864603902e-38,1061553.5,24h,3.25465069111e-35,47,48
48,10.0,Etoposide,nuclear,-0.40626745623,1.50778997418e-27,815031.0,24h,5.06617431324e-25,48,49
49,0.01,Etoposide,nuclear,0.102466969466,1.27634835083e-32,29961272.5,48h,4.28853045878e-30,49,50
50,0.031623,Etoposide,nuclear,0.159295112767,2.4997023679e-43,27440332.0,48h,8.39899995616e-41,50,51
51,0.1,Etoposide,nuclear,0.0160467323781,0.488870623154,21747841.0,48h,1.0,51,52
52,0.31623,Etoposide,nuclear,0.125412242872,4.89749011902e-25,14393275.5,48h,1.64555667999e-22,52,53
53,1.0,Etoposide,nuclear,0.735160729173,6.53097205135e-133,2734619.0,48h,2.19440660925e-130,53,54
54,3.1623,Etoposide,nuclear,0.624502589307,6.14279255415e-109,2176550.0,48h,2.0639782982e-106,54,55
55,10.0,Etoposide,nuclear,0.249466347062,4.58641457743e-14,3149368.5,48h,1.54103529802e-11,55,56
56,0.01,Etoposide,nuclear,-0.110157368162,4.90489435564e-45,263782309.5,72h,1.64804450349e-42,56,57
57,0.031623,Etoposide,nuclear,0.100383478693,1.92077703039e-85,228675177.5,72h,6.45381082212e-83,57,58
58,0.1,Etoposide,nuclear,-0.462111128906,0.0,107784543.5,72h,0.0,58,59
59,0.31623,Etoposide,nuclear,-0.1474348127,9.88276653393e-16,75092294.5,72h,3.3206095554e-13,59,60
60,1.0,Etoposide,nuclear,0.801951740332,5.54766032295e-179,8771017.5,72h,1.86401386851e-176,60,61
61,3.1623,Etoposide,nuclear,0.517781639309,7.17026605684e-79,7412327.0,72h,2.4092093951e-76,61,62
62,10.0,Etoposide,nuclear,-3.40522211088,0.0,14595519.5,72h,0.0,62,63
63,0.001,Neratinib,nuclear,-0.0839244929196,9.7637236418e-05,3307938.5,24h,0.0328061114364,63,64
64,0.0032,Neratinib,nuclear,0.186043888088,9.16150713642e-33,3174887.5,24h,3.07826639784e-30,64,65
65,0.01,Neratinib,nuclear,-0.602442495824,6.88353009494e-125,1279707.0,24h,2.3128661119e-122,65,66
66,0.031623,Neratinib,nuclear,-0.474257071685,1.41605348854e-71,1411112.5,24h,4.75793972149e-69,66,67
67,0.1,Neratinib,nuclear,-0.419504476159,3.55751787944e-61,1661399.0,24h,1.19532600749e-58,67,68
68,0.31623,Neratinib,nuclear,-0.259299095646,2.12657642004e-29,1742193.0,24h,7.14529677132e-27,68,69
69,1.0,Neratinib,nuclear,-0.526272499365,7.76855138959e-86,1175322.5,24h,2.6102332669e-83,69,70
70,0.001,Neratinib,nuclear,0.457167028343,0.0,18332594.0,48h,0.0,70,71
71,0.0032,Neratinib,nuclear,-0.448344235126,0.0,24995583.0,48h,0.0,71,72
72,0.01,Neratinib,nuclear,-0.0739319957455,1.27076509585e-13,25474495.5,48h,4.26977072205e-11,72,73
73,0.031623,Neratinib,nuclear,-0.0560172845762,0.00235763819272,19212155.0,48h,0.792166432753,73,74
74,0.1,Neratinib,nuclear,-0.114790360139,2.83853580334e-15,11406522.5,48h,9.53748029923e-13,74,75
75,0.31623,Neratinib,nuclear,0.351230713433,4.83047717027e-72,5232438.0,48h,1.62304032921e-69,75,76
76,1.0,Neratinib,nuclear,0.0219208600214,0.020343729427,6809305.5,48h,1.0,76,77
77,0.001,Neratinib,nuclear,-0.0662835904361,2.64021679347e-24,310996394.0,72h,8.87112842605e-22,77,78
78,0.0032,Neratinib,nuclear,0.0484631570066,1.04734816404e-27,354974311.5,72h,3.51908983116e-25,78,79
79,0.01,Neratinib,nuclear,-0.0612050889843,2.00436046352e-09,272152829.5,72h,6.73465115741e-07,79,80
80,0.031623,Neratinib,nuclear,-0.124185715577,2.54761658183e-49,168520835.0,72h,8.55999171496e-47,80,81
81,0.1,Neratinib,nuclear,0.411004224337,0.0,56776115.5,72h,0.0,81,82
82,0.31623,Neratinib,nuclear,1.04888124422,0.0,4495561.5,72h,0.0,82,83
83,1.0,Neratinib,nuclear,0.691529531357,1.90948953876e-82,6739652.0,72h,6.41588485024e-80,83,84
84,0.0001,Paclitaxel,nuclear,0.0470660140986,0.000381323910376,3084765.0,24h,0.128124833886,84,85
85,0.00032,Paclitaxel,nuclear,0.0728384412935,1.67318787389e-06,2837406.5,24h,0.000562191125628,85,86
86,0.001,Paclitaxel,nuclear,-0.0834333765844,0.00035591350643,2603400.0,24h,0.11958693816,86,87
87,0.0031623,Paclitaxel,nuclear,0.259898886702,1.35061156128e-24,1867114.5,24h,4.53805484589e-22,87,88
88,0.01,Paclitaxel,nuclear,0.926955048172,4.51031726327e-121,565763.0,24h,1.51546660046e-118,88,89
89,0.031623,Paclitaxel,nuclear,-4.85180563726,0.0,864477.0,24h,0.0,89,90
90,0.1,Paclitaxel,nuclear,0.125697653548,0.197838872869,596134.0,24h,1.0,90,91
91,0.0001,Paclitaxel,nuclear,-0.0490922927192,7.99281260294e-07,29029843.0,48h,0.000268558503459,91,92
92,0.00032,Paclitaxel,nuclear,0.0206875461533,4.8264890176e-05,32784359.5,48h,0.0162170030991,92,93
93,0.001,Paclitaxel,nuclear,0.129569955271,2.6559123271e-24,20029810.0,48h,8.92386541904e-22,93,94
94,0.0031623,Paclitaxel,nuclear,0.52154491733,1.69053651065e-63,6540150.0,48h,5.6802026758e-61,94,95
95,0.01,Paclitaxel,nuclear,1.43989907936,3.10504324902e-274,274376.0,48h,1.04329453167e-271,95,96
96,0.031623,Paclitaxel,nuclear,1.27383527721,2.42488243324e-51,457883.0,48h,8.1476049757e-49,96,97
97,0.1,Paclitaxel,nuclear,0.804541116599,3.84071340173e-27,296279.0,48h,1.29047970298e-24,97,98
98,0.0001,Paclitaxel,nuclear,-0.35570006736,0.0,207923217.0,72h,0.0,98,99
99,0.00032,Paclitaxel,nuclear,-0.0601449154939,1.76272322029e-23,336640558.0,72h,5.92275002016e-21,99,100
100,0.001,Paclitaxel,nuclear,0.120368948744,9.56277108161e-64,136813653.5,72h,3.21309108342e-61,100,101
101,0.0031623,Paclitaxel,nuclear,0.947154351082,1.035615792e-117,4271138.0,72h,3.47966906113e-115,101,102
102,0.01,Paclitaxel,nuclear,-0.897407452647,0.000398981744848,13516606.0,72h,0.134057866269,102,103
