,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,cytosolic,-0.184782167342,2.98506071971e-28,2660666.0,24,1.00E-25,0,1
1,0.031623,Alpelisib,cytosolic,0.121230633516,1.54882753836e-12,2765714.5,24,5.20E-10,1,2
2,0.1,Alpelisib,cytosolic,-0.077454214178,6.92813491999e-05,2787720.0,24,2.33E-02,2,3
3,0.31623,Alpelisib,cytosolic,0.0596115152526,0.00117787023037,2661145.0,24,3.96E-01,3,4
4,1.0,Alpelisib,cytosolic,0.0466112189794,0.0740682800567,2509522.0,24,1,4,5
5,3.1623,Alpelisib,cytosolic,-0.178478609755,1.13181675637e-22,1715553.0,24,3.80E-20,5,6
6,10.0,Alpelisib,cytosolic,-0.653770890659,4.43237041469e-159,1030926.5,24,1.49E-156,6,7
7,0.01,Alpelisib,cytosolic,-0.00506004616182,0.453245797182,38620155.0,48,1,7,8
8,0.031623,Alpelisib,cytosolic,0.0950560873227,1.29112053767e-30,32240481.5,48,4.34E-28,8,9
9,0.1,Alpelisib,cytosolic,-0.0624993214134,6.87824821992e-11,33147378.0,48,2.31E-08,9,10
10,0.31623,Alpelisib,cytosolic,0.109309047237,8.48916225883e-26,25207605.0,48,2.85E-23,10,11
11,1.0,Alpelisib,cytosolic,0.133717365796,2.84752489384e-28,19007996.5,48,9.57E-26,11,12
12,3.1623,Alpelisib,cytosolic,0.167299966321,9.16804144247e-25,13730988.0,48,3.08E-22,12,13
13,10.0,Alpelisib,cytosolic,-0.365037193815,1.33216505739e-115,5952890.0,48,4.48E-113,13,14
14,0.01,Alpelisib,cytosolic,0.0114096554533,0.401824686452,365846462.5,72,1,14,15
15,0.031623,Alpelisib,cytosolic,0.1373774123,1.37144407698e-60,261240562.5,72,4.61E-58,15,16
16,0.1,Alpelisib,cytosolic,0.204536147698,8.56249491483e-71,233682352.0,72,2.88E-68,16,17
17,0.31623,Alpelisib,cytosolic,0.232798932536,2.88741610768e-98,219418814.5,72,9.70E-96,17,18
18,1.0,Alpelisib,cytosolic,0.222981004218,6.25729485864e-112,193692191.5,72,2.10E-109,18,19
19,3.1623,Alpelisib,cytosolic,-0.0953588552504,6.61973137747e-25,169855164.0,72,2.22E-22,19,20
20,10.0,Alpelisib,cytosolic,-0.199806598,5.78720804762e-26,54896158.5,72,1.94E-23,20,21
21,0.01,Dasatinib,cytosolic,0.13999770241,3.66723083091e-12,3357973.5,24,1.23E-09,0,1
22,0.031623,Dasatinib,cytosolic,-0.7111041788,6.56032092279e-165,2400738.5,24,2.20E-162,1,2
23,0.1,Dasatinib,cytosolic,0.0483146861992,0.0869729611374,1687957.5,24,1,2,3
24,0.31623,Dasatinib,cytosolic,-0.292236434573,9.99712068087e-25,1259717.5,24,3.36E-22,3,4
25,1.0,Dasatinib,cytosolic,-0.378039678775,5.79378765396e-23,582768.0,24,1.95E-20,4,5
26,3.1623,Dasatinib,cytosolic,-0.58539336794,4.51907154811e-116,284814.0,24,1.52E-113,5,6
27,10.0,Dasatinib,cytosolic,-0.230871574885,3.77282477418e-19,404326.5,24,1.27E-16,6,7
28,0.01,Dasatinib,cytosolic,0.00660897790416,0.000588866352851,36242280.0,48,1.98E-01,7,8
29,0.031623,Dasatinib,cytosolic,-0.0766612174585,9.5374349678e-30,22284959.0,48,3.20E-27,8,9
30,0.1,Dasatinib,cytosolic,0.241821006677,6.77242338821e-27,11697036.0,48,2.28E-24,9,10
31,0.31623,Dasatinib,cytosolic,-0.261456616035,3.62792655292e-44,5447014.5,48,1.22E-41,10,11
32,1.0,Dasatinib,cytosolic,-0.214959314704,5.64949733928e-32,4412540.5,48,1.90E-29,11,12
33,3.1623,Dasatinib,cytosolic,-0.205556704764,8.77660042321e-22,2282688.0,48,2.95E-19,12,13
34,10.0,Dasatinib,cytosolic,-0.579937486265,3.36970827633e-40,156695.5,48,1.13E-37,13,14
35,0.01,Dasatinib,cytosolic,0.239207035599,5.84629432865e-86,187595885.0,72,1.96E-83,14,15
36,0.031623,Dasatinib,cytosolic,-0.18267168038,7.13827803153e-84,198467074.0,72,2.40E-81,15,16
37,0.1,Dasatinib,cytosolic,0.743559192589,0.0,50952364.0,72,0.00E+00,16,17
38,0.31623,Dasatinib,cytosolic,0.720600433538,6.29178551982e-236,16998460.0,72,2.11E-233,17,18
39,1.0,Dasatinib,cytosolic,0.449589293019,5.08028009549e-52,13863726.0,72,1.71E-49,18,19
40,3.1623,Dasatinib,cytosolic,-0.523454182156,9.92345099159e-79,7300911.5,72,3.33E-76,19,20
41,10.0,Dasatinib,cytosolic,-0.536497013649,8.10595937342e-162,6184687.0,72,2.72E-159,20,21
42,0.01,Etoposide,cytosolic,-0.569327215339,2.06147543397e-133,1828947.0,24,6.93E-131,0,1
43,0.031623,Etoposide,cytosolic,-0.0470297082219,0.00151636432719,3527582.0,24,5.09E-01,1,2
44,0.1,Etoposide,cytosolic,-0.0534177842046,4.39886302865e-07,2432407.5,24,1.48E-04,2,3
45,0.31623,Etoposide,cytosolic,-0.327951281674,5.96611308338e-71,1650150.5,24,2.00E-68,3,4
46,1.0,Etoposide,cytosolic,-0.602556756511,1.50284004701e-106,713526.0,24,5.05E-104,4,5
47,3.1623,Etoposide,cytosolic,0.180057818466,5.97841338348e-05,1404975.5,24,2.01E-02,5,6
48,10.0,Etoposide,cytosolic,-0.512791797633,2.32749561372e-57,646920.5,24,7.82E-55,6,7
49,0.01,Etoposide,cytosolic,0.0810349630434,5.08816851077e-16,31273389.5,48,1.71E-13,7,8
50,0.031623,Etoposide,cytosolic,-0.0684075623507,7.92027464753e-15,29455452.5,48,2.66E-12,8,9
51,0.1,Etoposide,cytosolic,-0.342566164487,1.30414853084e-233,13096466.0,48,4.38E-231,9,10
52,0.31623,Etoposide,cytosolic,-0.514715148255,0.0,7218949.0,48,0.00E+00,10,11
53,1.0,Etoposide,cytosolic,-0.471095412163,3.34299835034e-98,3198385.5,48,1.12E-95,11,12
