,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,nuclear,-0.113309126722,1.19367066439e-13,2876569.0,24h,4.01073343236e-11,0,1
1,0.031623,Alpelisib,nuclear,0.345347911803,1.84336635046e-63,2198607.5,24h,6.19371093755e-61,1,2
2,0.1,Alpelisib,nuclear,-0.121951021439,5.02899379976e-11,2639003.5,24h,1.68974191672e-08,2,3
3,0.31623,Alpelisib,nuclear,0.282327134538,1.96609786873e-29,2220051.0,24h,6.60608883893e-27,3,4
4,1.0,Alpelisib,nuclear,0.296408969255,1.81760164801e-18,2138066.0,24h,6.10714153733e-16,4,5
5,3.1623,Alpelisib,nuclear,-0.191407236965,3.54394065587e-16,1792455.5,24h,1.19076406037e-13,5,6
6,10.0,Alpelisib,nuclear,-2.8694643995,2.20522348231e-222,791374.5,24h,7.40955090057e-220,6,7
7,0.01,Alpelisib,nuclear,0.0291884962233,0.225965939451,38384193.5,48h,1.0,7,8
8,0.031623,Alpelisib,nuclear,0.298892112625,3.12534506126e-157,26780883.5,48h,1.05011594058e-154,8,9
9,0.1,Alpelisib,nuclear,-0.0491557067349,2.24979927339e-18,32355264.0,48h,7.55932555861e-16,9,10
10,0.31623,Alpelisib,nuclear,0.33131545374,6.32908953214e-150,20371522.5,48h,2.1265740828e-147,10,11
11,1.0,Alpelisib,nuclear,0.514432184429,2.42523434703e-251,12906214.0,48h,8.14878740602e-249,11,12
12,3.1623,Alpelisib,nuclear,0.374904661283,1.93278422864e-73,11967316.5,48h,6.49415500824e-71,12,13
13,10.0,Alpelisib,nuclear,-0.784424460946,6.15136272061e-125,5794044.0,48h,2.06685787413e-122,13,14
14,0.01,Alpelisib,nuclear,-0.700005054177,1.36897443187e-27,344694666.0,72h,4.59975409107e-25,14,15
15,0.031623,Alpelisib,nuclear,0.791836222653,2.37555849117e-85,255739987.5,72h,7.98187653032e-83,15,16
16,0.1,Alpelisib,nuclear,1.41199834914,5.29951702162e-74,233009038.0,72h,1.78063771927e-71,16,17
17,0.31623,Alpelisib,nuclear,1.35810630573,9.51922317806e-87,221506381.0,72h,3.19845898783e-84,17,18
18,1.0,Alpelisib,nuclear,1.55269516956,6.69033203614e-203,181729829.5,72h,2.24795156414e-200,18,19
19,3.1623,Alpelisib,nuclear,0.221424595819,2.68316335991e-22,170654815.0,72h,9.0154288893e-20,19,20
20,10.0,Alpelisib,nuclear,-0.90802222308,1.54171073079e-07,58908780.0,72h,5.18014805546e-05,20,21
21,0.01,Dasatinib,nuclear,0.0402434421114,0.438687626987,3790466.0,24h,1.0,21,22
22,0.031623,Dasatinib,nuclear,-3.14908354141,3.89557145079e-307,1695651.0,24h,1.30891200746e-304,22,23
23,0.1,Dasatinib,nuclear,-1.87594627631,5.0086955644e-11,1478701.5,24h,1.68292170964e-08,23,24
24,0.31623,Dasatinib,nuclear,-2.65474764824,5.19010596438e-117,749555.0,24h,1.74387560403e-114,24,25
25,1.0,Dasatinib,nuclear,-2.67153359773,3.67554182265e-66,378490.0,24h,1.23498205241e-63,25,26
26,3.1623,Dasatinib,nuclear,-2.91330754057,1.63695751121e-168,143441.5,24h,5.50017723766e-166,26,27
27,10.0,Dasatinib,nuclear,-2.62502185085,2.61057705703e-94,131659.5,24h,8.77153891163e-92,27,28
28,0.01,Dasatinib,nuclear,-0.0108442221049,4.73815668594e-17,34395436.0,48h,1.59202064647e-14,28,29
29,0.031623,Dasatinib,nuclear,-0.41424063896,2.28141629844e-238,15973071.5,48h,7.66555876277e-236,29,30
30,0.1,Dasatinib,nuclear,-0.384702355608,0.0864903662212,13625594.0,48h,1.0,30,31
31,0.31623,Dasatinib,nuclear,-2.33135977436,3.91932421842e-197,3054673.5,48h,1.31689293739e-194,31,32
32,1.0,Dasatinib,nuclear,-2.35466809909,6.8068877772e-167,2325703.0,48h,2.28711429314e-164,32,33
33,3.1623,Dasatinib,nuclear,-2.24151238148,9.18143878604e-167,560186.5,48h,3.08496343211e-164,33,34
34,10.0,Dasatinib,nuclear,-2.5972025879,1.43155280204e-47,99545.5,48h,4.81001741485e-45,34,35
35,0.01,Dasatinib,nuclear,0.463096908863,1.94830863733e-20,202890627.0,72h,6.54631702143e-18,35,36
36,0.031623,Dasatinib,nuclear,-1.06527848616,5.66966818642e-96,196373818.5,72h,1.90500851064e-93,36,37
37,0.1,Dasatinib,nuclear,0.185419635274,6.4010368677e-68,77941613.0,72h,2.15074838755e-65,37,38
38,0.31623,Dasatinib,nuclear,-0.175374406878,4.71950106579e-19,30302542.0,72h,1.58575235811e-16,38,39
39,1.0,Dasatinib,nuclear,-0.523607533252,0.0083032381947,19194585.5,72h,1.0,39,40
40,3.1623,Dasatinib,nuclear,-1.64089996947,5.70739414881e-87,6961885.0,72h,1.917684434e-84,40,41
41,10.0,Dasatinib,nuclear,-1.68023119782,2.60284709087e-139,6931252.0,72h,8.74556622531e-137,41,42
42,0.01,Etoposide,nuclear,-1.75757588077,1.68126883246e-97,2043263.5,24h,5.64906327708e-95,42,43
43,0.031623,Etoposide,nuclear,0.133850831659,3.93584362875e-06,3431754.0,24h,0.00132244345926,43,44
44,0.1,Etoposide,nuclear,0.432676645987,1.62572697901e-31,2080401.0,24h,5.46244264947e-29,44,45
45,0.31623,Etoposide,nuclear,-0.579872170318,3.25769525482e-56,1752945.5,24h,1.09458560562e-53,45,46
46,1.0,Etoposide,nuclear,-2.58942171638,7.44756109354e-64,908234.5,24h,2.50238052743e-61,46,47
47,3.1623,Etoposide,nuclear,0.581195764419,4.16982738835e-30,1117150.0,24h,1.40106200248e-27,47,48
48,10.0,Etoposide,nuclear,-2.48016896801,1.5334823221e-61,627450.0,24h,5.15250060227e-59,48,49
49,0.01,Etoposide,nuclear,0.353299349364,6.34054676869e-188,23977728.5,48h,2.13042371428e-185,49,50
50,0.031623,Etoposide,nuclear,0.165638730859,6.71451182418e-21,28916316.0,48h,2.25607597293e-18,50,51
51,0.1,Etoposide,nuclear,-0.230759476123,7.14763121841e-90,16427541.0,48h,2.40160408939e-87,51,52
52,0.31623,Etoposide,nuclear,-2.23762182565,1.34411867826e-275,8617058.0,48h,4.51623875897e-273,52,53
53,1.0,Etoposide,nuclear,-2.48902835321,6.97259395673e-121,2887471.5,48h,2.34279156946e-118,53,54
54,3.1623,Etoposide,nuclear,-2.46233152932,1.5040909849e-47,3085168.0,48h,5.05374570925e-45,54,55
55,10.0,Etoposide,nuclear,-2.7657416487,9.02168271764e-218,585170.5,48h,3.03128539313e-215,55,56
56,0.01,Etoposide,nuclear,1.02142660422,4.76055626379e-35,266791272.0,72h,1.59954690463e-32,56,57
57,0.031623,Etoposide,nuclear,-0.589273874109,0.000223710226674,254881762.5,72h,0.0751666361625,57,58
58,0.1,Etoposide,nuclear,-0.654872990205,0.116719430108,175472281.5,72h,1.0,58,59
59,0.31623,Etoposide,nuclear,-1.07225193879,0.0363481870933,80394499.0,72h,1.0,59,60
60,1.0,Etoposide,nuclear,-1.22125457922,5.58314980265e-33,15842565.5,72h,1.87593833369e-30,60,61
61,3.1623,Etoposide,nuclear,-1.33037260308,1.45496892422e-32,9818550.0,72h,4.88869558538e-30,61,62
62,10.0,Etoposide,nuclear,-1.71176527131,0.0,22073888.0,72h,0.0,62,63
63,0.001,Neratinib,nuclear,0.30668876696,8.31906819569e-31,2828482.5,24h,2.79520691375e-28,63,64
64,0.0032,Neratinib,nuclear,-1.74836762243,1.65279927023e-223,1847985.5,24h,5.55340554799e-221,64,65
65,0.01,Neratinib,nuclear,0.447942155293,1.34698477521e-70,1579806.5,24h,4.52586884469e-68,65,66
66,0.031623,Neratinib,nuclear,-0.316298045884,4.82365058469e-36,1665904.5,24h,1.62074659646e-33,66,67
67,0.1,Neratinib,nuclear,-3.06471757849,0.0,505326.5,24h,0.0,67,68
68,0.31623,Neratinib,nuclear,-3.32763267698,0.0,88094.5,24h,0.0,68,69
69,1.0,Neratinib,nuclear,-3.23860476967,0.0,132452.0,24h,0.0,69,70
70,0.001,Neratinib,nuclear,0.457855917875,0.0,19204716.5,48h,0.0,70,71
71,0.0032,Neratinib,nuclear,-0.0338081071182,6.75866964248e-15,40642732.0,48h,2.27091299987e-12,71,72
72,0.01,Neratinib,nuclear,0.392229477218,1.31003583763e-214,18176283.5,48h,4.40172041442e-212,72,73
73,0.031623,Neratinib,nuclear,0.370487835411,2.37297920311e-90,14842038.0,48h,7.97321012244e-88,73,74
74,0.1,Neratinib,nuclear,-0.880085148122,0.0,5301438.5,48h,0.0,74,75
75,0.31623,Neratinib,nuclear,-2.75333256503,0.0,932767.5,48h,0.0,75,76
76,1.0,Neratinib,nuclear,-2.75286410344,0.0,635114.5,48h,0.0,76,77
77,0.001,Neratinib,nuclear,-0.233171561298,1.57512118605e-31,308144434.5,72h,5.29240718514e-29,77,78
78,0.0032,Neratinib,nuclear,-0.934485841895,1.23041941819e-251,308109842.0,72h,4.1342092451e-249,78,79
79,0.01,Neratinib,nuclear,0.0696128504556,4.80999564732e-10,271756179.0,72h,1.6161585375e-07,79,80
80,0.031623,Neratinib,nuclear,0.816673347437,1.15115733735e-71,164250640.0,72h,3.86788865351e-69,80,81
81,0.1,Neratinib,nuclear,-0.664174596026,0.0200506619898,89752320.0,72h,1.0,81,82
82,0.31623,Neratinib,nuclear,-1.1644712971,1.59920772514e-43,22368837.5,72h,5.37333795647e-41,82,83
83,1.0,Neratinib,nuclear,-1.37619690837,9.79585179649e-49,8284869.5,72h,3.29140620362e-46,83,84
84,0.0001,Paclitaxel,nuclear,0.481555182055,2.52309202124e-114,1942444.0,24h,8.47758919137e-112,84,85
85,0.00032,Paclitaxel,nuclear,-0.120316310593,4.13970102744e-09,2773744.5,24h,1.39093954522e-06,85,86
86,0.001,Paclitaxel,nuclear,-0.230856251558,3.7281690948e-25,2233166.5,24h,1.25266481585e-22,86,87
87,0.0031623,Paclitaxel,nuclear,-1.29019536256,1.80628526433e-56,1593480.5,24h,6.06911848814e-54,87,88
88,0.01,Paclitaxel,nuclear,-2.29358895403,1.59406259524e-108,612155.0,24h,5.35605032001e-106,88,89
89,0.031623,Paclitaxel,nuclear,-3.4112036945,0.0,379739.5,24h,0.0,89,90
90,0.1,Paclitaxel,nuclear,-1.68433222103,1.71253440407e-46,282098.5,24h,5.75411559767e-44,90,91
91,0.0001,Paclitaxel,nuclear,0.340079417443,2.22750370643e-186,21179551.5,48h,7.4844124536e-184,91,92
92,0.00032,Paclitaxel,nuclear,-0.171840770269,1.06148339579e-96,26944164.0,48h,3.56658420985e-94,92,93
93,0.001,Paclitaxel,nuclear,-0.472843671892,5.42794503671e-306,12597757.5,48h,1.82378953233e-303,93,94
94,0.0031623,Paclitaxel,nuclear,-2.66852854494,0.0,2324603.0,48h,0.0,94,95
95,0.01,Paclitaxel,nuclear,-2.53143912941,4.01530680693e-210,761776.5,48h,1.34914308713e-207,95,96
96,0.031623,Paclitaxel,nuclear,-2.59711589373,2.68778383655e-72,273575.0,48h,9.0309536908e-70,96,97
97,0.1,Paclitaxel,nuclear,-2.53302626423,2.83653164669e-27,294941.0,48h,9.53074633289e-25,97,98
98,0.0001,Paclitaxel,nuclear,0.938783404457,1.97334763373e-87,280248519.5,72h,6.63044804932e-85,98,99
99,0.00032,Paclitaxel,nuclear,0.0887002868096,0.42712659188,355781487.5,72h,1.0,99,100
100,0.001,Paclitaxel,nuclear,1.28012071371,2.55040298963e-162,124159729.5,72h,8.56935404515e-160,100,101
101,0.0031623,Paclitaxel,nuclear,-0.91906718316,1.09417283847e-07,9899921.5,72h,3.67642073724e-05,101,102
102,0.01,Paclitaxel,nuclear,-1.57228386463,1.08236761995e-80,7942791.0,72h,3.63675520304e-78,102,103
103,0.031623,Paclitaxel,nuclear,-1.6969583591,1.70727974822e-198,9761739.5,72h,5.73645995403e-196,103,104
104,0.1,Paclitaxel,nuclear,-1.69061072769,3.94346479164e-203,8425824.5,72h,1.32500416999e-200,104,105
105,0.01,Palbociclib,nuclear,0.0200853161046,0.37886195792,2986404.5,24h,1.0,105,106
106,0.031623,Palbociclib,nuclear,0.296046459207,7.09994391484e-47,2617744.5,24h,2.38558115539e-44,106,107
107,0.1,Palbociclib,nuclear,-0.618968951433,1.53932380014e-31,1950105.5,24h,5.17212796847e-29,107,108
108,0.31623,Palbociclib,nuclear,-1.17801090539,1.74624554133e-101,1613505.5,24h,5.86738501887e-99,108,109
109,1.0,Palbociclib,nuclear,-2.04382865597,3.10304089071e-176,637988.0,24h,1.04262173928e-173,109,110
110,3.1623,Palbociclib,nuclear,-2.67701340754,6.80117929147e-283,543832.5,24h,2.28519624194e-280,110,111
111,10.0,Palbociclib,nuclear,-2.98376709577,0.0,412418.5,24h,0.0,111,112
112,0.01,Palbociclib,nuclear,0.00938251912573,0.0226172313872,36753191.5,48h,1.0,112,113
113,0.031623,Palbociclib,nuclear,0.398971182332,1.61689367168e-267,22844485.5,48h,5.43276273684e-265,113,114
114,0.1,Palbociclib,nuclear,0.230058661056,4.3329885092e-60,23593213.0,48h,1.45588413909e-57,114,115
115,0.31623,Palbociclib,nuclear,-0.0174918996769,1.08560988987e-08,27990664.5,48h,3.64764922998e-06,115,116
