,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,cytosolic,-0.269083571482,6.11380903769e-18,2803761.5,24h,2.05423983666e-15,0,1
1,0.031623,Alpelisib,cytosolic,-0.0145793587584,0.0177352270934,3047482.0,24h,1.0,1,2
2,0.1,Alpelisib,cytosolic,-0.498494579559,1.33495723573e-55,2123868.0,24h,4.48545631204e-53,2,3
3,0.31623,Alpelisib,cytosolic,-0.240292261835,5.37079382817e-13,2440684.0,24h,1.80458672626e-10,3,4
4,1.0,Alpelisib,cytosolic,0.042050386279,0.0778571005892,2510881.5,24h,1.0,4,5
5,3.1623,Alpelisib,cytosolic,-0.595729548808,6.57043061291e-93,1220724.5,24h,2.20766468594e-90,5,6
6,10.0,Alpelisib,cytosolic,-1.19309597284,0.0,394548.5,24h,0.0,6,7
7,0.01,Alpelisib,cytosolic,-0.165778371186,6.79798118685e-21,35205273.0,48h,2.28412167878e-18,7,8
8,0.031623,Alpelisib,cytosolic,0.485893569936,1.22769143395e-171,26346341.0,48h,4.12504321806e-169,8,9
9,0.1,Alpelisib,cytosolic,-0.248630109277,2.14190887692e-49,30218031.0,48h,7.19681382646e-47,9,10
10,0.31623,Alpelisib,cytosolic,0.594479008263,2.16219731225e-189,19356551.0,48h,7.26498296915e-187,10,11
11,1.0,Alpelisib,cytosolic,1.08960060101,0.0,10898811.5,48h,0.0,11,12
12,3.1623,Alpelisib,cytosolic,-0.858788539598,3.21808183732e-295,7802118.5,48h,1.08127549734e-292,12,13
13,10.0,Alpelisib,cytosolic,-1.27435303492,0.0,3307699.0,48h,0.0,13,14
14,0.01,Alpelisib,cytosolic,0.311152847384,3.21935780906e-132,317447681.0,72h,1.08170422384e-129,14,15
15,0.031623,Alpelisib,cytosolic,0.873663875211,0.0,186440104.0,72h,0.0,15,16
16,0.1,Alpelisib,cytosolic,-1.40530471721,0.0,99595484.0,72h,0.0,16,17
17,0.31623,Alpelisib,cytosolic,-1.20922620273,0.0,122093853.5,72h,0.0,17,18
18,1.0,Alpelisib,cytosolic,-0.341203438463,9.44404663364e-112,193719842.5,72h,3.1731996689e-109,18,19
19,3.1623,Alpelisib,cytosolic,-0.574735556783,8.58332597597e-274,136305514.0,72h,2.88399752792e-271,19,20
20,10.0,Alpelisib,cytosolic,-1.17773576129,0.0,32029725.0,72h,0.0,20,21
21,0.01,Dasatinib,cytosolic,0.140065333425,1.2416842056e-05,3528129.0,24h,0.00417205893083,21,22
22,0.031623,Dasatinib,cytosolic,-1.22839314563,0.0,1266053.5,24h,0.0,22,23
23,0.1,Dasatinib,cytosolic,0.407498729049,4.70619794507e-18,1392073.5,24h,1.58128250954e-15,23,24
24,0.31623,Dasatinib,cytosolic,-0.308677498942,8.54069339018e-07,1476073.5,24h,0.00028696729791,24,25
25,1.0,Dasatinib,cytosolic,-0.0684730818183,0.196161136353,831493.0,24h,1.0,25,26
26,3.1623,Dasatinib,cytosolic,-1.05299186346,1.24209023683e-105,316626.5,24h,4.17342319575e-103,26,27
27,10.0,Dasatinib,cytosolic,-1.21270075164,1.27904515072e-126,53867.0,24h,4.29759170642e-124,27,28
28,0.01,Dasatinib,cytosolic,1.23959565678,0.0,16112486.5,48h,0.0,28,29
29,0.031623,Dasatinib,cytosolic,-1.28729261204,0.0,5399421.0,48h,0.0,29,30
30,0.1,Dasatinib,cytosolic,-0.00381453925346,0.499569531222,13907626.0,48h,1.0,30,31
31,0.31623,Dasatinib,cytosolic,-1.25772694456,7.50934055423e-274,2248125.5,48h,2.52313842622e-271,31,32
32,1.0,Dasatinib,cytosolic,-0.835453748504,1.93935326969e-71,3603728.5,48h,6.51622698617e-69,32,33
33,3.1623,Dasatinib,cytosolic,-1.24814287142,1.36160038555e-91,1253342.0,48h,4.57497729546e-89,33,34
34,10.0,Dasatinib,cytosolic,-1.4958534647,1.79383330583e-55,43178.5,48h,6.02727990759e-53,34,35
35,0.01,Dasatinib,cytosolic,-1.13640271254,0.0,119273287.0,72h,0.0,35,36
36,0.031623,Dasatinib,cytosolic,0.368949268445,2.46375526405e-119,192682824.0,72h,8.27821768722e-117,36,37
37,0.1,Dasatinib,cytosolic,0.15508874417,3.46286007247e-09,88690019.5,72h,1.16352098435e-06,37,38
38,0.31623,Dasatinib,cytosolic,-0.70878690727,5.1156740401e-74,25121652.0,72h,1.71886647747e-71,38,39
39,1.0,Dasatinib,cytosolic,-1.64093722483,3.91384104564e-199,7604451.0,72h,1.31505059133e-196,39,40
40,3.1623,Dasatinib,cytosolic,-2.08148780458,1.13839619469e-302,951640.5,72h,3.82501121415e-300,40,41
41,10.0,Dasatinib,cytosolic,-2.09553641211,0.0,1249559.0,72h,0.0,41,42
42,0.01,Etoposide,cytosolic,0.66847662193,1.96704494272e-80,2159352.0,24h,6.60927100755e-78,42,43
43,0.031623,Etoposide,cytosolic,-0.00151238027361,0.000311321576984,3498459.0,24h,0.104604049867,43,44
44,0.1,Etoposide,cytosolic,0.798159275139,2.0154007591e-115,1493045.0,24h,6.77174655059e-113,44,45
45,0.31623,Etoposide,cytosolic,-0.0506082133887,0.43498436891,2547340.0,24h,1.0,45,46
46,1.0,Etoposide,cytosolic,0.588764868447,5.27415608616e-48,997426.5,24h,1.77211644495e-45,46,47
47,3.1623,Etoposide,cytosolic,-0.35971587911,1.25247201377e-15,1248770.0,24h,4.20830596627e-13,47,48
48,10.0,Etoposide,cytosolic,-1.15293998432,4.24300300368e-168,262109.5,24h,1.42564900924e-165,48,49
49,0.01,Etoposide,cytosolic,1.08097393861,0.0,15335293.5,48h,0.0,49,50
50,0.031623,Etoposide,cytosolic,0.716460844639,1.20323670685e-294,19833602.5,48h,4.04287533501e-292,50,51
51,0.1,Etoposide,cytosolic,-0.341014130512,3.85606138417e-65,17240875.0,48h,1.29563662508e-62,51,52
52,0.31623,Etoposide,cytosolic,-0.489298601382,1.8929194686e-90,12130661.0,48h,6.36020941451e-88,52,53
53,1.0,Etoposide,cytosolic,-0.213836071011,1.44545930871e-05,5422976.5,48h,0.00485674327725,53,54
54,3.1623,Etoposide,cytosolic,-1.051680706,4.55131740708e-116,2090697.5,48h,1.52924264878e-113,54,55
