,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,cytosolic,-0.0377757692298,2.42981593186e-07,3012797.0,24h,8.16418153106e-05,0,1
1,0.031623,Alpelisib,cytosolic,-0.00748287071145,0.249090715257,3129959.0,24h,1.0,1,2
2,0.1,Alpelisib,cytosolic,-0.00963143315961,0.0836191245366,2923792.0,24h,1.0,2,3
3,0.31623,Alpelisib,cytosolic,0.01015945923,0.200171594314,2780054.0,24h,1.0,3,4
4,1.0,Alpelisib,cytosolic,0.00327605714046,0.25024249153,2549132.5,24h,1.0,4,5
5,3.1623,Alpelisib,cytosolic,-0.0193924584337,0.0472171103784,2088750.0,24h,1.0,5,6
6,10.0,Alpelisib,cytosolic,-0.0313970921494,4.54915408264e-07,2089626.0,24h,0.000152851577177,6,7
7,0.01,Alpelisib,cytosolic,0.00524788129591,0.0306360303188,37968084.0,48h,1.0,7,8
8,0.031623,Alpelisib,cytosolic,0.000634861638184,0.160471384749,35982031.0,48h,1.0,8,9
9,0.1,Alpelisib,cytosolic,-0.00220551317221,0.344222739009,35268869.0,48h,1.0,9,10
10,0.31623,Alpelisib,cytosolic,0.00999922290663,0.000985354574342,27481102.0,48h,0.331079136979,10,11
11,1.0,Alpelisib,cytosolic,0.0231771408583,2.13729009994e-07,20583661.5,48h,7.18129473581e-05,11,12
12,3.1623,Alpelisib,cytosolic,0.0550273311385,8.48716575865e-21,13938588.5,48h,2.85168769491e-18,12,13
13,10.0,Alpelisib,cytosolic,0.040041876815,5.67861101248e-08,8972998.0,48h,1.90801330019e-05,13,14
14,0.01,Alpelisib,cytosolic,0.0239464789278,6.87688909066e-14,351541565.0,72h,2.31063473446e-11,14,15
15,0.031623,Alpelisib,cytosolic,0.0264916162893,1.13176413054e-20,273631358.0,72h,3.80272747861e-18,15,16
16,0.1,Alpelisib,cytosolic,-0.0203049421846,0.000104226986942,256732550.5,72h,0.0350202676126,16,17
17,0.31623,Alpelisib,cytosolic,-0.023279451236,2.47016620048e-09,243762823.0,72h,8.2997584336e-07,17,18
18,1.0,Alpelisib,cytosolic,-0.0243679556485,6.29097685725e-15,215957717.5,72h,2.11376822404e-12,18,19
19,3.1623,Alpelisib,cytosolic,-0.049210851461,7.08147070194e-77,158784323.0,72h,2.37937415585e-74,19,20
20,10.0,Alpelisib,cytosolic,0.0262012566921,0.00624456079103,60872543.0,72h,1.0,20,21
21,0.01,Dasatinib,cytosolic,0.00832735930275,0.301716351441,3766882.0,24h,1.0,21,22
22,0.031623,Dasatinib,cytosolic,-0.180340813094,1.55946969582e-94,2871888.5,24h,5.23981817795e-92,22,23
23,0.1,Dasatinib,cytosolic,0.235326538592,2.36187190269e-50,1134142.0,24h,7.93588959305e-48,23,24
24,0.31623,Dasatinib,cytosolic,0.376413624027,1.52369687982e-76,928835.5,24h,5.11962151619e-74,24,25
25,1.0,Dasatinib,cytosolic,0.559734212511,4.32224218924e-73,353342.5,24h,1.45227337559e-70,25,26
26,3.1623,Dasatinib,cytosolic,0.276145100509,8.88144556868e-44,552705.0,24h,2.98416571108e-41,26,27
27,10.0,Dasatinib,cytosolic,0.770929929498,1.07811745228e-86,151903.5,24h,3.62247463967e-84,27,28
28,0.01,Dasatinib,cytosolic,0.0116258497406,0.0037218409858,36449274.5,48h,1.0,28,29
29,0.031623,Dasatinib,cytosolic,0.0400600419733,3.64715878177e-18,23058468.5,48h,1.22544535067e-15,29,30
30,0.1,Dasatinib,cytosolic,0.264546410557,1.52096487967e-215,7421810.0,48h,5.11044199568e-213,30,31
31,0.31623,Dasatinib,cytosolic,0.359244424385,1.15945105591e-167,3406253.5,48h,3.89575554785e-165,31,32
32,1.0,Dasatinib,cytosolic,0.173153460267,2.9341194559e-60,3802099.0,48h,9.85864137182e-58,32,33
33,3.1623,Dasatinib,cytosolic,0.372891271779,4.54877226638e-95,1215949.0,48h,1.5283874815e-92,33,34
34,10.0,Dasatinib,cytosolic,0.18498550444,5.82116125882e-10,490647.0,48h,1.95591018296e-07,34,35
35,0.01,Dasatinib,cytosolic,0.000438401189375,0.221020888755,215248872.5,72h,1.0,35,36
36,0.031623,Dasatinib,cytosolic,0.0145958934378,0.394281067847,227326234.0,72h,1.0,36,37
37,0.1,Dasatinib,cytosolic,0.252085082804,1.13690929347e-279,60921131.0,72h,3.82001522604e-277,37,38
