,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,nuclear,0.021535734875,0.238810330208,3269511.5,24,1,0,1
1,0.031623,Alpelisib,nuclear,0.0433046999561,0.00835913134708,3030710.0,24,1,1,2
2,0.1,Alpelisib,nuclear,0.0025576927698,0.269123045655,2966674.0,24,1,2,3
3,0.31623,Alpelisib,nuclear,0.0214410309802,0.179361954196,2775904.0,24,1,3,4
4,1.0,Alpelisib,nuclear,-0.126866212008,1.85403617817e-06,2346398.5,24,6.23E-04,4,5
5,3.1623,Alpelisib,nuclear,-0.153031041766,1.38713834365e-07,1928214.5,24,4.66E-05,5,6
6,10.0,Alpelisib,nuclear,0.00161551341154,0.237679561584,2292140.0,24,1,6,7
7,0.01,Alpelisib,nuclear,0.249055001252,7.10803282797e-90,31203772.5,48,2.39E-87,7,8
8,0.031623,Alpelisib,nuclear,0.188473789613,1.22116776602e-55,30726695.0,48,4.10E-53,8,9
9,0.1,Alpelisib,nuclear,0.127781830811,1.40229840454e-25,31747875.5,48,4.71E-23,9,10
10,0.31623,Alpelisib,nuclear,0.203230191655,2.01936927436e-47,23974733.5,48,6.79E-45,10,11
11,1.0,Alpelisib,nuclear,0.321865630373,8.08513891913e-94,16460871.0,48,2.72E-91,11,12
12,3.1623,Alpelisib,nuclear,0.033158370824,0.0204700741297,15557691.5,48,1,12,13
13,10.0,Alpelisib,nuclear,0.211302800903,6.72046817359e-19,8369941.5,48,2.26E-16,13,14
14,0.01,Alpelisib,nuclear,-0.618475067499,5.96164043246e-284,294339510.5,72,2.00E-281,14,15
15,0.031623,Alpelisib,nuclear,-0.479199272694,9.63778908098e-170,241481404.5,72,3.24E-167,15,16
16,0.1,Alpelisib,nuclear,0.462380640384,0.0,165123105.5,72,0.00E+00,16,17
17,0.31623,Alpelisib,nuclear,0.372600214682,0.0,174135303.0,72,0.00E+00,17,18
18,1.0,Alpelisib,nuclear,0.0793116076411,1.2898143748e-27,211250474.5,72,4.33E-25,18,19
19,3.1623,Alpelisib,nuclear,-0.573135539181,1.27202827759e-214,141771942.5,72,4.27E-212,19,20
20,10.0,Alpelisib,nuclear,-0.947503945102,2.13099478298e-144,43588742.5,72,7.16E-142,20,21
21,0.01,Dasatinib,nuclear,0.120624528728,3.64888490837e-13,3337129.0,24,1.23E-10,0,1
22,0.031623,Dasatinib,nuclear,-0.541573521612,9.12609873938e-91,2901529.0,24,3.07E-88,1,2
23,0.1,Dasatinib,nuclear,0.418432028365,2.76186213401e-38,1215750.5,24,9.28E-36,2,3
24,0.31623,Dasatinib,nuclear,0.568981644365,6.29211558447e-61,1010902.5,24,2.11E-58,3,4
25,1.0,Dasatinib,nuclear,0.830754037954,2.3442275992e-67,374059.0,24,7.88E-65,4,5
26,3.1623,Dasatinib,nuclear,0.0183256307603,0.145431902942,930915.5,24,1,5,6
27,10.0,Dasatinib,nuclear,0.981954388964,1.54537345358e-56,242765.0,24,5.19E-54,6,7
28,0.01,Dasatinib,nuclear,0.0180862249408,0.0164808121935,36647470.0,48,1,7,8
29,0.031623,Dasatinib,nuclear,0.0111693309224,0.383806091193,25479127.5,48,1,8,9
30,0.1,Dasatinib,nuclear,0.689864386615,1.3862170194e-247,6951331.0,48,4.66E-245,9,10
31,0.31623,Dasatinib,nuclear,0.836016717739,1.56904089301e-179,3261180.0,48,5.27E-177,10,11
32,1.0,Dasatinib,nuclear,0.849496927298,1.4172426482e-123,2840344.0,48,4.76E-121,11,12
33,3.1623,Dasatinib,nuclear,0.631597363826,2.01490421871e-43,1875688.5,48,6.77E-41,12,13
34,10.0,Dasatinib,nuclear,0.67090834577,4.34738019211e-14,426323.0,48,1.46E-11,13,14
35,0.01,Dasatinib,nuclear,0.456826958983,0.0,139088656.5,72,0.00E+00,14,15
36,0.031623,Dasatinib,nuclear,-0.970916291878,0.0,153947812.5,72,0.00E+00,15,16
37,0.1,Dasatinib,nuclear,0.29127844845,5.92474922015e-41,81676743.5,72,1.99E-38,16,17
38,0.31623,Dasatinib,nuclear,0.915504982527,3.15348883998e-228,17301361.5,72,1.06E-225,17,18
39,1.0,Dasatinib,nuclear,1.14486320419,4.29311749334e-142,9585319.0,72,1.44E-139,18,19
40,3.1623,Dasatinib,nuclear,-2.52827071903,1.97312016684e-100,6441581.5,72,6.63E-98,19,20
41,10.0,Dasatinib,nuclear,-2.59676023275,1.01420355376e-298,2480658.0,72,3.41E-296,20,21
42,0.01,Etoposide,nuclear,-0.778308811304,2.8214254126e-153,1722994.0,24,9.48E-151,0,1
43,0.031623,Etoposide,nuclear,0.357454683483,1.28404642089e-47,2795996.5,24,4.31E-45,1,2
44,0.1,Etoposide,nuclear,0.492728037184,1.14260087899e-69,1766175.5,24,3.84E-67,2,3
45,0.31623,Etoposide,nuclear,0.920421385488,9.00415216226e-190,1059615.5,24,3.03E-187,3,4
46,1.0,Etoposide,nuclear,-0.0968506479343,2.79589155664e-05,1400374.0,24,9.39E-03,4,5
47,3.1623,Etoposide,nuclear,1.56791380138,3.29377489406e-211,362169.0,24,1.11E-208,5,6
48,10.0,Etoposide,nuclear,1.70147842846,5.03069465822e-135,357809.0,24,1.69E-132,6,7
49,0.01,Etoposide,nuclear,0.289424309866,2.46716733125e-119,26049723.0,48,8.29E-117,7,8
50,0.031623,Etoposide,nuclear,0.378001745998,1.59046335845e-146,23457361.0,48,5.34E-144,8,9
51,0.1,Etoposide,nuclear,0.629051383746,1.76561186401e-265,12518903.5,48,5.93E-263,9,10
52,0.31623,Etoposide,nuclear,1.13800694873,0.0,5564181.0,48,0.00E+00,10,11
53,1.0,Etoposide,nuclear,1.21136439331,3.44343042042e-161,2400846.0,48,1.16E-158,11,12
54,3.1623,Etoposide,nuclear,1.53071786737,2.43198494755e-217,1079550.5,48,8.17E-215,12,13
55,10.0,Etoposide,nuclear,1.3139374404,3.74066625178e-156,1106074.5,48,1.26E-153,13,14
56,0.01,Etoposide,nuclear,0.309048803029,1.97500798755e-285,225580480.5,72,6.64E-283,14,15
57,0.031623,Etoposide,nuclear,-0.324271966787,5.88110669661e-36,240256402.5,72,1.98E-33,15,16
58,0.1,Etoposide,nuclear,1.34345909818,0.0,48150129.5,72,0.00E+00,16,17
59,0.31623,Etoposide,nuclear,1.87353059903,0.0,11755487.5,72,0.00E+00,17,18
60,1.0,Etoposide,nuclear,-1.12859770998,5.25432950224e-33,15840408.5,72,1.77E-30,18,19
61,3.1623,Etoposide,nuclear,-1.51821504965,9.66289785721e-72,7722058.0,72,3.25E-69,19,20
62,10.0,Etoposide,nuclear,-2.49766044278,0.0,9839073.0,72,0.00E+00,20,21
63,0.001,Neratinib,nuclear,-0.157052205431,9.69200729238e-12,3123354.0,24,3.26E-09,0,1
64,0.0032,Neratinib,nuclear,-0.740924514255,6.31308222949e-192,2004685.5,24,2.12E-189,1,2
65,0.01,Neratinib,nuclear,-0.026320567887,0.358260350194,2445929.0,24,1,2,3
66,0.031623,Neratinib,nuclear,0.0510671456733,0.00105516667883,2112035.0,24,3.55E-01,3,4
67,0.1,Neratinib,nuclear,0.0271089796246,0.0111230479779,2372291.0,24,1,4,5
68,0.31623,Neratinib,nuclear,-0.207049740038,4.30865550208e-20,1841832.5,24,1.45E-17,5,6
69,1.0,Neratinib,nuclear,0.0338712064213,0.0123261819036,1955720.0,24,1,6,7
70,0.001,Neratinib,nuclear,0.155994307219,4.24026984449e-34,28037114.0,48,1.42E-31,7,8
71,0.0032,Neratinib,nuclear,0.274908767544,1.64086476139e-132,33921755.5,48,5.51E-130,8,9
72,0.01,Neratinib,nuclear,0.156209787785,2.35536271122e-26,24486161.5,48,7.91E-24,9,10
73,0.031623,Neratinib,nuclear,0.358623730744,4.68831256495e-119,14072163.5,48,1.58E-116,10,11
74,0.1,Neratinib,nuclear,0.275981174316,1.87666705052e-44,10185073.5,48,6.31E-42,11,12
75,0.31623,Neratinib,nuclear,0.57567694182,2.06413449008e-93,4838638.0,48,6.94E-91,12,13
76,1.0,Neratinib,nuclear,0.266765932065,5.1015527466e-24,5652009.0,48,1.71E-21,13,14
77,0.001,Neratinib,nuclear,0.222593938643,9.58611908878e-162,279123179.5,72,3.22E-159,14,15
78,0.0032,Neratinib,nuclear,-1.23643296343,0.0,208874525.5,72,0.00E+00,15,16
79,0.01,Neratinib,nuclear,-0.82474839895,0.0,204364246.0,72,0.00E+00,16,17
80,0.031623,Neratinib,nuclear,-0.0396839322022,5.15151499451e-06,182505022.0,72,1.73E-03,17,18
81,0.1,Neratinib,nuclear,-0.203570077999,6.28304379881e-08,86794268.5,72,2.11E-05,18,19
82,0.31623,Neratinib,nuclear,-0.422324630088,7.81473477909e-05,27433247.5,72,2.63E-02,19,20
83,1.0,Neratinib,nuclear,-1.25074643374,1.06777087883e-66,7410514.5,72,3.59E-64,20,21
84,0.0001,Paclitaxel,nuclear,-0.0564716229349,0.0131369091644,3152367.0,24,1,0,1
85,0.00032,Paclitaxel,nuclear,-0.00125016689815,0.105163388572,3031399.5,24,1,1,2
86,0.001,Paclitaxel,nuclear,0.425518072803,3.07501815648e-53,1964202.5,24,1.03E-50,2,3
87,0.0031623,Paclitaxel,nuclear,1.61905387573,2.37973015431e-267,662542.5,24,8.00E-265,3,4
88,0.01,Paclitaxel,nuclear,1.18240497103,1.49853793546e-97,655015.0,24,5.04E-95,4,5
89,0.031623,Paclitaxel,nuclear,-2.4906811001,0.0,1179309.5,24,0.00E+00,5,6
90,0.1,Paclitaxel,nuclear,1.20917558359,3.13878400626e-67,211552.5,24,1.05E-64,6,7
91,0.0001,Paclitaxel,nuclear,0.253076418563,4.78060299599e-85,24276977.5,48,1.61E-82,7,8
92,0.00032,Paclitaxel,nuclear,-0.119362924341,1.05678556491e-23,30691610.0,48,3.55E-21,8,9
93,0.001,Paclitaxel,nuclear,0.540048701684,5.12266959894e-139,15950486.5,48,1.72E-136,9,10
94,0.0031623,Paclitaxel,nuclear,1.73488963831,0.0,2248084.5,48,0.00E+00,10,11
95,0.01,Paclitaxel,nuclear,1.91935128524,5.90452858985e-194,896180.5,48,1.98E-191,11,12
96,0.031623,Paclitaxel,nuclear,1.83037577426,5.22851495299e-64,342686.0,48,1.76E-61,12,13
97,0.1,Paclitaxel,nuclear,2.13125567896,3.63906576143e-47,121724.0,48,1.22E-44,13,14
98,0.0001,Paclitaxel,nuclear,0.119372636585,3.41563192057e-38,292920687.0,72,1.15E-35,14,15
99,0.00032,Paclitaxel,nuclear,-0.253096515914,2.0663547239e-73,320575105.5,72,6.94E-71,15,16
100,0.001,Paclitaxel,nuclear,0.37352234421,5.76913840743e-170,123373468.0,72,1.94E-167,16,17
101,0.0031623,Paclitaxel,nuclear,1.17467560912,6.08185051088e-57,6533700.5,72,2.04E-54,17,18
102,0.01,Paclitaxel,nuclear,-1.9010718116,0.00148949198442,13653367.5,72,5.00E-01,18,19
103,0.031623,Paclitaxel,nuclear,-2.58364347094,4.24928701816e-302,6569149.5,72,1.43E-299,19,20
104,0.1,Paclitaxel,nuclear,-2.54745704413,0.0,3001008.0,72,0.00E+00,20,21
105,0.01,Palbociclib,nuclear,0.0594266291927,0.000618225417859,2822679.5,24,2.08E-01,0,1
106,0.031623,Palbociclib,nuclear,-0.00826508637977,0.459834967193,3491325.0,24,1,1,2
107,0.1,Palbociclib,nuclear,0.0249152498679,0.330070512489,2518080.0,24,1,2,3
108,0.31623,Palbociclib,nuclear,0.0932652829429,0.000119480757806,2553772.0,24,4.01E-02,3,4
109,1.0,Palbociclib,nuclear,-0.0792819355404,0.00138579916484,1701798.5,24,4.66E-01,4,5
110,3.1623,Palbociclib,nuclear,-0.0957148889738,5.03454659592e-05,2056410.5,24,1.69E-02,5,6
111,10.0,Palbociclib,nuclear,-0.247796875746,4.802115055e-22,2139899.5,24,1.61E-19,6,7
112,0.01,Palbociclib,nuclear,0.0201465647668,0.0100291097744,36635426.5,48,1,7,8
113,0.031623,Palbociclib,nuclear,0.156590445468,5.72167617073e-41,30408077.0,48,1.92E-38,8,9
114,0.1,Palbociclib,nuclear,0.331403227469,1.20753887747e-128,21168463.0,48,4.06E-126,9,10
115,0.31623,Palbociclib,nuclear,0.339507023179,1.40620818533e-96,23148503.5,48,4.72E-94,10,11
116,1.0,Palbociclib,nuclear,0.173717747806,1.04845487979e-14,14074487.5,48,3.52E-12,11,12
117,3.1623,Palbociclib,nuclear,0.580559899801,6.31033958501e-157,6534140.5,48,2.12E-154,12,13
118,10.0,Palbociclib,nuclear,0.430986343658,2.68385051863e-97,7295828.0,48,9.02E-95,13,14
119,0.01,Palbociclib,nuclear,0.479384878613,0.0,168280861.5,72,0.00E+00,14,15
120,0.031623,Palbociclib,nuclear,-0.253141412288,2.76087348771e-80,328526808.0,72,9.28E-78,15,16
121,0.1,Palbociclib,nuclear,0.0675911211104,7.74829146277e-05,233713193.5,72,2.60E-02,16,17
122,0.31623,Palbociclib,nuclear,0.473929186672,0.0,134623801.5,72,0.00E+00,17,18
123,1.0,Palbociclib,nuclear,-0.495228480511,1.06401224048e-94,121285626.0,72,3.58E-92,18,19
124,3.1623,Palbociclib,nuclear,0.0895802601429,4.05531785854e-10,96207163.5,72,1.36E-07,19,20
125,10.0,Palbociclib,nuclear,0.913974976182,0.0,24926564.0,72,0.00E+00,20,21
126,0.0003,Trametinib,nuclear,0.232143906967,6.41083335667e-21,2566534.5,24,2.15E-18,0,1
127,0.001,Trametinib,nuclear,0.155615398048,0.00346244603979,2948689.0,24,1,1,2
128,0.0031623,Trametinib,nuclear,0.332030626965,6.99724894981e-38,2290128.5,24,2.35E-35,2,3
129,0.01,Trametinib,nuclear,-0.0686640302828,0.0411266406585,2497062.0,24,1,3,4
130,0.031623,Trametinib,nuclear,-0.219323901976,5.33021903278e-10,2360846.5,24,1.79E-07,4,5
131,0.1,Trametinib,nuclear,-0.142520012005,0.000145548710196,2115215.0,24,4.89E-02,5,6
132,0.31623,Trametinib,nuclear,-0.135937872894,0.000275904407582,2607026.0,24,9.27E-02,6,7
133,0.0003,Trametinib,nuclear,0.216982399027,5.6394318936e-47,28527347.5,48,1.89E-44,7,8
134,0.001,Trametinib,nuclear,0.332653814131,9.28740832955e-77,20214609.5,48,3.12E-74,8,9
135,0.0031623,Trametinib,nuclear,0.572002025289,1.49763808286e-136,11324124.0,48,5.03E-134,9,10
136,0.01,Trametinib,nuclear,0.339690348141,2.88452248459e-39,7288673.0,48,9.69E-37,10,11
137,0.031623,Trametinib,nuclear,0.302550132909,6.92354113085e-32,6271754.5,48,2.33E-29,11,12
138,0.1,Trametinib,nuclear,0.27802533792,1.02095012625e-27,7759732.5,48,3.43E-25,12,13
139,0.31623,Trametinib,nuclear,0.550267927591,3.0259306551e-88,4801519.5,48,1.02E-85,13,14
140,0.0003,Trametinib,nuclear,-1.01394553964,0.0,201864070.0,72,0.00E+00,14,15
141,0.001,Trametinib,nuclear,-1.02253119503,0.0,153338772.0,72,0.00E+00,15,16
142,0.0031623,Trametinib,nuclear,-1.25437828709,1.74446684706e-300,42729487.0,72,5.86E-298,16,17
143,0.01,Trametinib,nuclear,-1.15131485942,1.03398426401e-122,29808328.0,72,3.47E-120,17,18
144,0.031623,Trametinib,nuclear,-2.4934907048,0.0,19853692.0,72,0.00E+00,18,19
145,0.1,Trametinib,nuclear,-0.155219137883,0.000123749693066,23800364.5,72,4.16E-02,19,20
